request,answer
"De l’eau sucrée, de l’eau à base de farine d’arrow-root, de l’eau de coco glacée.","Dlo douce, dlo a farine arrow-root, dlo noix coco glace."
Ma parole répandue s’est roulée dans l’eau comme attirée par un aimant.,Parol mwen ki te fèt pou aprann toupatou.
Tous les autres l’encensent.,Tout moun ka fè'y konpliman.
Il existe toutes sortes de mères mais il n’y en a pas d’inutiles.,"Ni adan lanmè, ni adan syèl la."
Son arrêt se trouve au Bord de Mer.,Biten'y ka fèt an Bord Mé-a.
"Il en avait trop fait : trop d'histoires, trop de fêtes, trop de bêtises.","Tou sa yo té ka fè an pa-toufé : twò dakò, twò biten pou di, twò biten lajwannari."
"A l’époque du communisme, l’Amérique n’agissait pas à sa guise.","Anlè tan lalin, Amerik pa té ka fè sa i té vlé."
Mais il avait tellement de vitesse que c’est lui qui a commencé à crier.,Men adan chalè. Li ki kouman rél la.
Il s’appelle Casimir.,Ni an ki di Casimir.
L’ambassadeur russe a refusé de serrer la main de l’ambassadeur américain.,Anbasadè Ris la refize bay men anbasadè Meriken an.
Ferdinand bouscula l'impudente et lui flanqua un coup de poing.,"Ferdinand pouse-quete lèz-otan, i bay'y on ponch an plen fig."
"Et avec cela, il fit même la terre écouter la mer battre ses vagues","Epi asi sa, i fè latè menm tann lanm a frape rivaj li."
"Il m’a offert des millions pour que je lui en fournisse un mais comme je connais l’importance de ce que quelqu’un peu faire avec une tête de mort, je ne le lui ai pas donné.","I té ba mwen an pil lajan pou mwen enmen'y oben jòd-la men, kon sa ki ka fèt avèk on tèt-an-mò, mwen pa té ka ba'y sa."
Bout de terre dont on n’a cessé de faire l’inventaire.,"Mòso tè a, pa janmen fini fè kont dessen'y."
Nous sommes allés voir de la misère en France.,An nou alé wè konbyen mizè ni an Frans.
"Ce n’est pas aujourd’hui que je baisserai les bras, ma chère.",An jou pa ni démen.
Cet homme était devenu un scélérat parce qu'un nègre avait baisé sa femme.,"Sé moun-asa i té ka fè tout kò a'y pou laché, pas i té ni an nèg ki té ja baizé sòt fi'y."
Un homme doit pouvoir contrôler ses pas.,"Yonn tchimbé raid, moun ka wè'y."
Il aurait fallu qu’elle se marie à un musicien.,Fodré ké té ni pou i té mawié-aw an nonmizik.
Jeannette n’a pas fait sa mise en plis pour aller danser chez Georges.,Janèt pa té fè chiv-ouvè pou laléizé bòjou Gidzyò.
Il peut faire aussi bien le mal que le bien ?,An nou chita adan lekzil adan le konkou.
"Depuis un certain temps, le médecin l’avait averti qu’il fallait qu’elle se fasse enlevé un fibrome.","Depuis on bout, doktè di-w la fòs: ni an boug ki ni pou-té tou-tan an ti-mobann asi respire-y, asi chenn-lanmè."
La Martinique était sous le joug de l'Angleterre.,La Matinik té anba menm anglè-a.
Mais c’est toi seul qui peut étancher ma soif.,Men sèl ou ka fè mwen kon sa.
Les autres nouvelles ne l’intéressait guère.,"Non, sa pa lòt nouvel ki t'ap fè mwen-ouvè."
Des poubelles qui ne sont jamais fermées.,An ti chien-chien ka fimen.
"Lutter en faveur du bel-air, c’est lutter contre l’assimilation.","Lité pou belè, sé lité kont asimilasion."
La mangrove est une bonne maternité pour tous les poissons du Bon Dieu.,La mangrove sé on bel maternité pou toutpawòl BonDiyé.
Puis travailler comme un beau diable pour moins que deux francs.,Paka travay asi nonm lan pou yon sèl kòb.
Qui remplit chaque heure d'une détresse insouciante.,Ki biten ki ka fè mizè asi mizè adan katjilé a tout moman.
Elle prit la mouvette et remua les piments.,Tala ki pran pijé-a ek ichwé piman.
Après avoir reçu une bonne raclée sur le dos.,Tala ki fin batjé adan lanmen zot.
Château-Paille est une espèce de mangrove qui se trouve à l’orée de la mer.,Chato Pay est an espès ki fèt andidan mangwov didan an bò larivyè.
Votre maire a toujours mené une politique clientéliste.,Mè-a-w-la toujou mennen yon politik kliyanèl.
"Il avait de la chance d'avoir rencontré, à son âge, une chair aussi fraîche et pleine de vivacité.","Niil té kayilos dè fèls i ja, anlo tan ki niyajé, an ba an fanm-tala."
Il les tuait aussi avec ses frondes.,Sa té adan lan ki ka touyé moun.
Pluie-énigme très sûrement étouffée dans le bel allant des fougères.,La pli a-été ké ba'y difé adan bèl féray yo.
La maison du docteur se trouve après le deux dos d’ânes.,Kay doktè a chita oben déryé dé bòs an lòt dòt.
Dans une belle robe qui n’était pas défraîchie.,An bel wob ki pa té adéfrañ.
L’année du ratiboisage survint avec tout son attirail.,Lané di koutmen ni zotan-izotil.
"Et tout cela, c’était pour exciter l’appétit de ces messieurs importants.","An tou sa, sé té oben-ouvanman pou fè maché manman'y."
Vous avez un derrière proéminent.,Ou ni an gwo kouyon.
La musique n’était pas excellente parce que les amplificateurs avaient un problème.,Sé pa ekzelen ki té ni adan latiléri-a pas sé kèk bagay ki pa té mòdilé.
Na ! C’est moi qui ai fabriqué la femme en sucre.,Wa ! Se mwen menm ki fè fanm-akach.
L’indien lui avait enseigné beaucoup de ses secrets.,"Tala ki té ka koumansé trapé zot, poutji i plié zot?"
Cela fait partie de mes devoirs comme la communion de Pâques pour les catholiques.,Sa fè pati dé travay mwen kon sa fè pati kominyon Pas pou katolik.
Il fait de façon à ce que les choses finissent mal.,An ka fè'y konnet'y ké sa fini an mové fason.
A moins d’un petit répit entre deux tâches.,An ba men ki ka bat dèyè lanmori.
Voici que le fouet ne parvient pas à arracher les racines de la liberté.,Isi ki koupve-ou pa ka deracine libèté-a.
Je désirerais posséder un bateau qui avance à la fois sur la mer et sur la terre.,Mwen ké on bato ki ka maché atè épi anlè lanmè.
Mais déjà un formidable bavard.,Men an bav&#232; koutan.
Ce type a un style collet-monté.,Sa fason kitajé a ka fè'y vini kon zotjé.
Saint-Elie louait simplement Pinlin aux gens..,Sent-Eli té ka bay moun yo lè oubyen.
Quel que soit son poids.,Ni an rajézon ki chou ki ki pwa'y ka ni.
"Dans les hauteurs du petit pays de Martinique, les marronneurs allumaient des feux de liberté.","Anwo adan péyi an péyi Matinik, esklav koupé té ké fann an lavié ba yo."
La vie est une mère qui sait quel poids ses enfants peuvent porter.,La vi sé on manman ki sav ki poid sos ki'w ka pòté.
"Tu prendras de la menthe, du gros-thym.","Ou kay pran dajilè, ekpiwaz."
Les grévistes avaient attaché un bandeau rouge autour de leur tête.,"An ba lapawòl, grévist yo té ka fè yonn kaskèt wouj anba wòzézon."
"Monte, monte encore.","Monte, monte ankò."
Ta mère a mis trop de vêtements sales dans le baquet.,"Toutouni adan bokit-la, manni!"
"Non ! intervint Lorette. Monsieur Rosalien, ce n’est pas chez moi que vous vous disputerez avec qui que ce soit.","Non ! , s'écria Lorette. Monsieur Rosalien, cé pa chè mwen sa'w ké ka fè bagay kon sa."
"A Trinité, il passait pour un fieffé coureur de jupons.","An lari a Latinité, té ka fè'y pasé pou an andidan konmèt jipon."
Je vais continuer à manœuvrer au milieu de la rue.,Mwen p'apé ké vinié pli bon-ke sa.
Elles perdaient le don.,Yo té pèdi chimen kò'y.
Mais en quel autre lieu parviendrons-nous…,Men an ki lòt kote nou ka rive...
"Tant et tellement de promesses et un jour, dans le décours...","Toutotan adan lanmès, onlo a promès ek onjou, adan mitan..."
Depuis l’époque où les nègres ont quitté l’Afrique.,Dèpi lè neg ​​sòti nan péyi Afrik.
Sentant bon comme une fleur au jardin.,San bon kon yon flè an jaden.
Et il rêvait que le cimetière était une sorte de grande ville.,E li té ka révé séké lansanmi té an koté adan an bel vil.
Il n'y avait pas de bananes comme à présent.,Pa té ni an lòté ba nou :(an lòté- a lot)
"Cavaliers, levez-vous pour que nous puissions danser.","Cavalryé, ka lèvé pou an nou ka dansé."
"Quand vous arriverez de l’autre côté, à la Dominique, pays où l’on parle anglais, vous verrez deux belles filles approcher.","Lè'w'ap rive lot bò Lariviè-a, adan Dominik la, y'ap vini wè yonn respire angletè."
Et l'on fit appeler l'abbé Chrysostome pour qu'il lui apporte un dernier baume.,Epi yo fè on chèchilosyon ba lapè Chrysostòm pou li pote'y yon dènye koutmenaj.
Le petit jeune homme du bourg qui meublait depuis un moment tous ses rêves de jeune fille.,Ti nonm bèlajilè-a ki t'ala bouswèlizé kon pezonn-tala.
Parce qu'elle marchait d'une façon boiteuse.,Pas'ki té ka moun' ados.
Ecrasant une moitié de fruit à pain dans son assiette.,Pilé an mité bannann'fle a an sòs.
Voici que maintenant ces petites espiègles ont décidé de s'emparer de ma canne !,"Atjelman, sèk katilinn sa yo vle pran bwa mwen !"
Il a fait beaucoup de démarches mais aucune n’a abouti.,"Anlo moun ka voyé'y konkou pasionni, mé pa on sel pati pa té pé péyé'y anlo."
"Dans chaque pré, on trouve un taureau dominant qui impose sa loi.","An chak prè, ni on bèt' ki ka kwèy."
Pourtant elles n'étaient ni illettrées ni idiotes.,Pou ta ka di adan' sa yo pa té ni lèt asi pa ni sòt.
Edouard ne t'as pas battu ?,Edoua pa bat w' ?
"Un enfant voleur, tricheur, menteur, et mystificateur.",Yonn ti malfini ki ka fè kwè li ni dwa.
"Le médecin lui a dit qu'il boit trop, c'est pourquoi il a une grosse inflammation.","Doktè a di'ymanmanli'y kay bwè twò, sé pou sa'wè'y ni on boug enfleksion."
Alors Surélise posa ses mains sur ses hanches.,Donk Sirliz poza men'y anlè si li.
Ils passent un pacte avec le diable afin d’avoir un grand nombre de camions.,Yo fè yon pòch ak djab la pou yo jwenn anpil kamyon.
Lucie est une petite fille maigrichonne.,Lisi sé on ti fi kafléchè.
La gentillesse des hommes.,La jantilesse oben mennen'w.
Toi qui recherches de bonnes informations.,Tou ki chèch bon enfòmasyon.
Nous possédons chacun une séparation.,Nou chak ni an séparasion.
Quand il vit qu’ils s’en allaient…,An lésé yo ka maché.
Les maisons sont inondées.,Les kay yo inondé.
"Rappelle-toi de Sonson, le vaillant manieur de fourche, le vaillant manieur de coutelas.","Raprèl' Sonson, an bèl forjè, an bèl coupe."
Ils masquaient le soleil.,Sézon touloulou ki ka vini.
Il me faudra louvoyer dans l’école de de ma vie.,Mwen ké ni pou mwen vwalé adan lekòl lavi a.
Quel était le nom de ce type ?,Ki té ni manniè sa ki té ka kriyé'y ?
Vous m’avez inscrit sur votre carnet.,Ou ja matjé mwen adan adyòl-la.
J’ai plongé dans la mer et y suis resté.,Mwen plonje adan lamer ek mwen ka fè'y dab.
Sans que le moindre regret ne me frappe l'esprit.,San ki anlo penndouvan pa ka fè mwen viktim.
Parce que le Nègre met ses gros orteils à l’étrier.,Sé pas pou ou renouvèl-ou ké ba'y manjé.
"Puis, ils arrivèrent près d'une cabane où il y avait un foyer constitué de trois pierres.","Ansanm, yo rive non lòt kay. Yon twa wòch te fè yon dife."
Il avait déjà éraflé le visage de certaines personnes qui l’avaient traité de « Coolee bouffeur de chiens ».,"I té ja krazé latèt a anlo moun ki té ka batjé'y oben ""Kouli boufé chen""."
Ce qui fait qu’aujourd’hui il a des cauchemars.,Sa ki fè jodia i ka fè rèv-izo.
La femme est morte mais il faut que je la laisse tranquille.,Sé an moun ki ka vanné zié a-ou.
Nous avions peur car sa femme avait des difficultés à accoucher depuis la veille.,"Nou té ka pè pasionni, pas-pass' sa madanm-tala té ké pozé an chimen lantant an lantandan."
Ils ont fouaillé dans les trous à merde de la ville.,Yo fanné adan bann zépòl lavil-la.
C’est un geste qui les culpabilisait.,Sé on jès ki té ka fè yo sans consyans.
Corps déferrées mais cheveux défrisés.,"Tout kò a ka pléré, mé toubann a-iyi ka pléré."
"Romule fut trempé jusqu’aux os, son chapeau déteignit.","Romil te chire tankou on radjen, chapo li déte ni."
Il vient vous apporter son bienfait ?,Sé ba'w kon sa ki ka vini'y oddasi'y ?
Le poisson armé m’a menacé.,An pwason chabwakouto touye mwen.
Pour avoir droit à un peu de dorlotage.,Pou ni dwa a on ti koukouyaj.
C’était un homme comme il faut.,Sé té on bon nonm.
Parce que le crabe est tellement flegmatique.,Paskè le crab la fèy.
Une bonne odeur se dégageait de la terrine en terre cuite et lui chatouillait le nez.,Yon bon lòmans te sòti anba pla aji lè an ba li.
"Si je pouvais m’en aller, laisser le pays de français !",Si mwen té ké ka kite péi an mwen !
Ventre plein jusqu’à déborder.,Vant plen jouk débòde.
Cette personne avait le regard braqué vers le fond.,An moun-tala té ka wè asi adyé a'y.
Lorsqu'il aperçut Martinotte.,Lè i wè Martinòt.
J’ai toujours passé ma vie à tourner la déveine en dérision.,"Toujou, mwen ja konnen sa, mwen fè dépi mwen piti !"
Il fallait qu’ils aient des avions ou des fusées pour les emmener.,Fouté yo ni avion oben fizioun1 pou yo ka pôté yo.
Les larmes sèches qui s’étalaient sur ses joues lui donnaient l’air d’un masque du lundi-gras.,Pouilos séch té ka koulé atè'y té fè'y paré kon an maskad.
Singe avait posé un grand panier sur sa tête afin d’aller vendre des fruits et des baies.,Singe té ka wouè yonn gran foulara adan tèt-li pou alé fè mawché oben vann fwi oben bienchwit.
Tu ne savais pas que Lucien était un gourmand ?,Ou pa té sav kè Lusyen té ja ni bon manjé ?
Née des contradictions qu'il a vécues et suscitées.,Né des kontradiksyons ki i ka viv-épi-ki i ka fèt.
Ce sont quand même elles qui ont délivré toutes les mères de l’ancien temps de leurs charges.,"Se té yo menm ki té délivwé tout fanm lépok lontan, ki té ni anfan."
Ce sont elles qui détenaient les savoirs.,Se yo ki té ni konpwann.
Il suffit que vous bougiez pour qu’il y ait des licenciement sur les plantations et dans les usines.,"Ni si ou ka maché, tout moun pé ké ped poz lajan."
"Les animaux vivaient tranquilles, sans aucun désagrément.","Zanimo té ka viv adan lanpé, san A, ni pwoblem."
"Eau sucrée, eau d’arrow-root, eau de noix de coco à demi glacée.","Dlo siwou, dlo awoukot, dlo diwòz."
Aller voir les éclairs au faîte des arbres.,Alé wè léklè anlè oben bwa.
Le mépris était enraciné dans les mœurs des Békés et de tous les profiteurs.,Menpriz té ka fè pati adan kotidienn an té Béké ek tout moun ki té ka fè lajan atè.
Elle promène ses formes à travers le bureau.,An chayé'y ka mouné'y adan bidim.
Ils se saisirent du bœuf et se rendirent à la rivière pour le nettoyer.,"Yo pran bèt la pou lave l', rivay la."
Dites lui que l’argent se trouve à la Perception.,Di'y ké chiminé'y adan La Pès.
Ne pas se baigner ou ne pas prendre de douche.,Pa baigné' ou pa douché'.
Tellement elle était faché contre Petit Louis.,An toubannman ki té ka koumansé trapé'y.
"Ou la frégate sur la mer, sommet de son sillage qu'aucune écume ne trahit !","Ou la fregat anlè lanmè, wo a la tèt oben sinve an pa ni oben !"
"Tout le monde était triste, excepté un jeune homme appelé Matéo.","Tout moun té ka fè lafè, sèl Matéo pa té ka fè'y."
Le courrier est arrivé ce matin. J’ai entendu sa corne mugir dans la rade.,"Opital la vini asoupli. Sentanmin, Maleng vini fasilman splike."
Et les bougies clignotaient comme des lucioles en pleine saison du carême.,Épi as bouji té ké klaradé kon an lalin an kawemen.
"Tous les moins-que-rien, les débiles et les imbéciles se prennent pour des gens importants.","Tout moun ki pa ni anyen, imyéb, et débíl i ka fè kon si yo té enmen' anlo."
Parce que ce mal est une forme d'enchaînement.,Paskè sa a menm se yon fòm de-anchennman.
Il vous révèle comment est fait votre nombril.,I ka fè-w konnet konmandé'w ja fè-aw.
"La nuit de Noël, il s’agit alors de se rendre en bandes jusqu’au bord de mer à Schœlcher.","Lannuit de Nowèl, i pozé alò fok alé adan group jiskobòd la koté Schœlcher."
"Monsieur Cinna, un homme au teint rougeâtre dont l’épouse possédait une épicerie près de la croix du Morne Pichevin.","Monsieur Cinna, an man ni on zonm ki rouj, té madanm li té ni on épisri doubout a koté krwa Mòn Pichévin."
Gisèle est plus timide que je ne le pensais ou elle joue la comédie ?,"Gisèle pli timide yo ké mwen té ka wè'y la oswè a, ou sé kon sa'y ka fè'y ba'y."
Que quelqu’un était en train de commettre une indiscrétion à ce sujet.,Sa té ni moun ki té ka fè tèt-tèt adan sa.
"A cette époque, il n'y avait guère de médecins, il fallait se rendre dans un dispensaire.","An tan-lasa, pa té ni anlo doktè, fallè alé o swen."
C’est un fruit-à-pain blet qui vous regarde dans le blanc des yeux.,Sa a ni renmen fè-ou vrèman.
Cette curiosité qui vit au fond des âmes.,Sa a té adan lekè a moun.
Tous les deux finirent par crever avec leurs enfants.,Tout-dé kon sa fini adan mò.
"Lorsqu’il fait le lambin, cela m’enrage.","Lè i ka fè sanmdi, i pa ja fè gran choz."
"D'ailleurs, avec tout le chômage qu'il y a ici, je ne compte que sur mes deux mains.","Senyé, oben menm, oben adan tout boudéyò an chòmaj la, mwen ni twòp koté."
"Toutes dents dehors, il se mit à gronder.",Tout dan yo koumansé cho.
"Aujourd’hui, il est dans la détresse.","Jòdi a, i ka redé ké i pé pa sav kijan pou fè fas a sitiyasion an."
"Insoucieux des serpents qui se faufilaient dans les buissons, de leur langue en forme de trident.","An silans davwè zanj andidan bwa yo, anlo ki pezé an fòm de twidɔ̀."
Qui n’a pas oublié les traces que le feu a laissées sur lui.,Ki moun ki pa ja bliyé jan dife ja fè wouvè anlè'y ?
Ce que les dieux glorifient.,Sé sa ki plézi Bondaw.
"Dis donc, tu glousses de joie comme une poule qui vient de pondre !",Épi ou ja ka fè-ou on bel plézi !
"Hélas, il ne l’avait pas encore profondément entamé.","Anlo, i té ké ja ja kay fonn'y."
"Il fait noir, cela ne fait rien, il n’a pas besoin de voir clair.","I ka fè nwa, sa pa fè anyen, i pa ni bezwen wè byen."
Le soleil illuminait l’asphalte.,Solèy la ekleyé bitim lapawòl-la.
"Selon lui, il était un pleutre même si personne autour de lui n’avait une telle opinion.","Selon li, té ka fè i péché adan la kouyonri, alòsé moun ki té ni oben ba li."
Il faut croire qu’il y a quelque chose.,Sa ni yon bagay.
"Quand la personne ne parle pas vite, le créole mauricien n’est pas difficile à comprendre","Lor moun pa pôté lè, kreyòl morisien pa konpliké pou konprann."
"Il connaît toutes les forêts du Marin, de Rivière-Pilote, de Sainte-Luce, du Diamant.","An sa ki fè'y konnèt tout fowo-Maren, Rivyè-Pilot, Sen-Lis, Diman."
Même si tu es le premier bon à rien dans le peloton de la médisance.,Menm si ou se premye abitye nan pakèt mechancete a.
"La mayonnaise avait pris, façon de dire que le bal battait son plein.","La mayonnaise té ka pran, adan lontan an nou té ka di sa té ni anlo moun."
Il a fait cet accident parce que l’accélérateur est resté bloqué.,"Sé pas adan lanmen'y siplé, i té ké pé pa ni krik ni konpa."
"Hier soir, le chasuble du prêtre a été volé.","Niè swa, té ni on volaj an chasib."
Tu n’avais pas la tête vide.,Ou pa té ni tet vidé.
Il m'a appelé de sa voix rauque.,I té kay mwen.
Le regret ne doit pas vous casser les bras !,An toubwi pa dwe fè-w pa sav ou mové !
Un premier rang de gradin pour les juges.,Yonn premyé rang a lasiz pou jij.
Il descendit à toute vitesse vers la source Fourniol.,"Tout doulman, i desann ba Founiòl."
"D’ailleurs, personne ne semblait prêt à attendre encore une embellie.","An plis, ni moun pa té ka wè ki an lè zòt kay tann anlo anlo."
Il y aura des beaux parleurs qui voudront me mystifier.,Ka ni moun ka adan' menteri.
La taille de la Martinique est infime.,La taill' la Matinik en piti.
"Jeune fille, ne laisse pas ce va-nu-pieds te faire la cour !","Ti fi, pa pèmet' vagabonaj-la fè-w konmansman !"
"Au contraire de compère Chat, il n'est pas voleur.","An kontrè compè Chat, i pa vlé."
Il donna un coup de bec.,I té ka bay an koud'pik.
La canne a intéressé les colons parce qu'elle se conservait mieux que les autres types de culture.,La kann a enterese kolon an pas i ka konseve pi bien ki lot plant.
La fièvre s’était emparée de Filloline.,La fiev pwandé Filolin.
Je me demandais ce qu’il gagnait à mon alliance avec le bijoutier.,Mwen té ka mandé mwen kon sa'y té ka rété adan fè mwen konpwenn ek jonndéyè-a.
Célia était bienheureuse.,Sélya té an chimen dé bonè.
Le créole est une langue qui est apparue au début du 17e siècle.,Kréyòl sé yon lang ki té fèt o débu dè 17yèm sik.
Il existe un certain nombre de règles pour préparer un rafraîchissement.,I ka ni on chimen règle asi poun fè on ti-boisson.
Il alla déterrer le paquet et le déposa sur le sol.,Ki alé ka fouyé latè a ek pòté pakè a oben dèyè'y.
"Macaque habitait chez quelqu'un, dans une petite guérite qui se trouvait clouée tout en haut d'un arbre.","Makak té ka rété kay on moun, adan on ti lakaz ki té ka fiksé adan doubout oben oben on pyebwa."
"Après cela, elle avait reçu un grand nombre de gens qui avaient tout perdu suite à l'éruption de 1902.","Apré sa, i té ka rété anlo moun ki té wè yo pédi yo tout lè Véziré an 1902 té pété."
Il labourait encore son terrain en haut de la colline.,Anlo pase'y kon kouyon :(arga) an lot bò a tè a.
Chacun avait chez soi un foyer qui restait allumé de jour comme de nuit.,Chak moun té ni obenmen an kay anz-a'y ki té lajounen kon la nwi.
Tout le monde sait qu’il est un grand mathématicien.,Tout moun ka sav sa i matjitisien adan anlo matis.
Une autre qui récurait à l'aide d'un balai en feuilles de palmiste.,Yonn lòt ti madanm ki té ka froté atè a oben yonn balèt fèy latanvé.
Ötant des chiques entre les fentes de leurs orteils démolis.,An koumansé fè zéris-ongles.
"A la Compagnie, une foule de gens que madame Emile reconnut était venue accompagner le nouveau député de la Martinique.","An ladjè la-a, on sel moun ki manmadmil Emile té konnet la té ka vini goumé obenèkrakonnenkon, pou chofè Matinik-la."
Quelque part en Afrique ou en Amérique.,An chimen Afrik oben Léritaj.
Ce n'est pas de fixer le soleil qui te rendront les yeux secs.,Sé pa a fiksté solèy ki kay fè zyeux'w pa kriyé.
"Les gens qui aiment avoir leurs vêtements toujours bien blancs, à défaut de leur peau.","Moun ki ka abitye lavié vwèt yo dwèt konpwé, si yo pé pa sa fè sa ba yo."
"Ces petits voyous, dès qu'ils en avaient la possibilité, s'échappaient.","Sé ti manmay sa a, sitèk i té ka fè yo pé, yo té ka kouwonné."
Marignan tête-en fer n’allait pas plus loin que le seuil de sa maison.,Marinyan Tèt-Fè-ou pa té ké alé o dwat la kay-li.
"Touffeur de la méconnaissance, touffeur de l’oubli.","Chalè de lanmé, chalè latè."
Si la matrice de la personne sort pendant l’accouchement.,Si menm lebé a fanm vini sou zotobre-ou.
C’est lui qui lui avait insufflé force et courage quand il avait décidé de devenir violoniste.,Se li menm ki té ba'y fòs épi kouraj lè an té désidé fè'y viélonis.
La terre est basse pour ceux qui n’ont de cesse de sarcler.,La tè a ba pou moun ki pa janmen fini désherbé.
On dit que juste avant sa mort... On les voit défiler devant ses yeux.,On ka di ki bon lè an mò... Yo pasé an revi tou otou'y.
Laisse tomber le jeu un instant.,Tout bagay niyé a koté on moman.
"A vrai dire, je n’avais aucun travail éreintant à faire.","An vérité, an té ni anlo travay dijan atè kay mwen."
Les démarcheurs ont l’habitude de tromper les vieilles femmes.,Bitè fwatè-a ni mové koutim fè tèt yo.
Château déclara qu’il ne se préoccuperait même pas de se changer.,Chato déklara ki pa té ka di li menm ké saouvé fè'y onlo.
"Pour la denture, encore tant...Jusqu'à l'Oméga du monde nouveau !","Pou zo, ankor ankò...Jiskaske a dènye bagay ki pou fèt !"
Les pauvres portent leur misère sur leur dos comme une carapace de tortue.,Anons ka maché.
Qui ressemble à du coton ou à des cheveux fins et longs.,An alé ki té ni an zorey-éléfan.
Ils descendaient La Levée en courant depuis le Pont Démosthène.,Sé ka koté Bon Dié té ka pran tè a pou y fè solèy.
Je vous rejoins dans un quart d’heure.,Mwen ka vini oben kwadè tan.
Il n’y a pas longtemps qu’il sait jouer de l’harmonica.,Pa ni lontan ki i konn jwe a l'armonika.
Ce n'est pas toi qui te baisseras pour ce monsieur.,An pa ou ki pwal fè sa pou moun sa a.
"Alors, un jour, le roi rassembla tous ses conseillers et ses gardes.","An jou, oben jou an jou-ya, oben jou an jou, oben jou an jou-ya, oben jou, oben jou-ya, oben jou an jou. Le roi révélé konché-tout konzil-yo épi tout-sa ki ka gadé'y."
"Crois-moi, tu n’as pas l’air de quelqu’un que l’on pourrait tromper.","Kwè mwen, ou pa fèt pou tonbé nan piej."
Avec deux bouts de bois et un peu de peinture.,Avèk dé ti machwè ek on pè penty.
Il ne perdit pas son sang-froid. Il appela Crapaud qui était son serviteur.,I pa té ké fè pété'y. I mandé Crapo ki té adan'y.
Ce n’est pas une manière de faire une démonstration sur la technique avec la langue créole.,Sa pa ni yon fason pou fè yon demonstrasyon sou teknik la avèk lang kreyòl la.
L’état ne paie pas les gens à ne rien faire.,Léta ka pa bay moun lajan pou yo pa fè anyen.
Je te donnerai tous les renseignements afin que tu puisses te débrouiller.,"Mwen p'ap fè-ou on ti plasaj adan la konstitisyon, men mwen p'ap chanté kou ba la fanmi."
"Il existe des mères-gâteau, elles sont aussi douces que du sirop de miel.",I ni manman gato ki si an douos kon lanmèl.
Ton père est tellement lunatique qu’il ne m’a pas dit bonjour aujourd’hui.,Tonton ou ké fè-ou on tabac ?
Je pensais que l’extérieur de la maison était plus beau.,Mwen té kon pansé adan lanmen ki fè-ou pi bèl.
Sa langue jaillissait au dehors et sa tête était penchée d’un côté.,Sa lang té ka pend' a-ka-dehô épi'y té ka penché a on kô.
"Si Rosario s'en allait faire ses besoins naturels, il se trouvait là à surveiller ses excréments.","Si Rosario té ka alé fè pipi-kaka'y, an lwen, i té ka fimen'y."
